word,lexicon
a,SMART
a's,SMART
able,SMART
about,SMART
above,SMART
according,SMART
accordingly,SMART
across,SMART
actually,SMART
after,SMART
afterwards,SMART
again,SMART
against,SMART
ain't,SMART
all,SMART
allow,SMART
allows,SMART
almost,SMART
alone,SMART
along,SMART
already,SMART
also,SMART
although,SMART
always,SMART
am,SMART
among,SMART
amongst,SMART
an,SMART
and,SMART
another,SMART
any,SMART
anybody,SMART
anyhow,SMART
anyone,SMART
anything,SMART
anyway,SMART
anyways,SMART
anywhere,SMART
apart,SMART
appear,SMART
appreciate,SMART
appropriate,SMART
are,SMART
aren't,SMART
around,SMART
as,SMART
aside,SMART
ask,SMART
asking,SMART
associated,SMART
at,SMART
available,SMART
away,SMART
awfully,SMART
b,SMART
be,SMART
became,SMART
because,SMART
become,SMART
becomes,SMART
becoming,SMART
been,SMART
before,SMART
beforehand,SMART
behind,SMART
being,SMART
believe,SMART
below,SMART
beside,SMART
besides,SMART
best,SMART
better,SMART
between,SMART
beyond,SMART
both,SMART
brief,SMART
but,SMART
by,SMART
c,SMART
c'mon,SMART
c's,SMART
came,SMART
can,SMART
can't,SMART
cannot,SMART
cant,SMART
cause,SMART
causes,SMART
certain,SMART
certainly,SMART
changes,SMART
clearly,SMART
co,SMART
com,SMART
come,SMART
comes,SMART
concerning,SMART
consequently,SMART
consider,SMART
considering,SMART
contain,SMART
containing,SMART
contains,SMART
corresponding,SMART
could,SMART
couldn't,SMART
course,SMART
currently,SMART
d,SMART
definitely,SMART
described,SMART
despite,SMART
did,SMART
didn't,SMART
different,SMART
do,SMART
does,SMART
doesn't,SMART
doing,SMART
don't,SMART
done,SMART
down,SMART
downwards,SMART
during,SMART
e,SMART
each,SMART
edu,SMART
eg,SMART
eight,SMART
either,SMART
else,SMART
elsewhere,SMART
enough,SMART
entirely,SMART
especially,SMART
et,SMART
etc,SMART
even,SMART
ever,SMART
every,SMART
everybody,SMART
everyone,SMART
everything,SMART
everywhere,SMART
ex,SMART
exactly,SMART
example,SMART
except,SMART
f,SMART
far,SMART
few,SMART
fifth,SMART
first,SMART
five,SMART
followed,SMART
following,SMART
follows,SMART
for,SMART
former,SMART
formerly,SMART
forth,SMART
four,SMART
from,SMART
further,SMART
furthermore,SMART
g,SMART
get,SMART
gets,SMART
getting,SMART
given,SMART
gives,SMART
go,SMART
goes,SMART
going,SMART
gone,SMART
got,SMART
gotten,SMART
greetings,SMART
h,SMART
had,SMART
hadn't,SMART
happens,SMART
hardly,SMART
has,SMART
hasn't,SMART
have,SMART
haven't,SMART
having,SMART
he,SMART
he's,SMART
hello,SMART
help,SMART
hence,SMART
her,SMART
here,SMART
here's,SMART
hereafter,SMART
hereby,SMART
herein,SMART
hereupon,SMART
hers,SMART
herself,SMART
hi,SMART
him,SMART
himself,SMART
his,SMART
hither,SMART
hopefully,SMART
how,SMART
howbeit,SMART
however,SMART
i,SMART
i'd,SMART
i'll,SMART
i'm,SMART
i've,SMART
ie,SMART
if,SMART
ignored,SMART
immediate,SMART
in,SMART
inasmuch,SMART
inc,SMART
indeed,SMART
indicate,SMART
indicated,SMART
indicates,SMART
inner,SMART
insofar,SMART
instead,SMART
into,SMART
inward,SMART
is,SMART
isn't,SMART
it,SMART
it'd,SMART
it'll,SMART
it's,SMART
its,SMART
itself,SMART
j,SMART
just,SMART
k,SMART
keep,SMART
keeps,SMART
kept,SMART
know,SMART
knows,SMART
known,SMART
l,SMART
last,SMART
lately,SMART
later,SMART
latter,SMART
latterly,SMART
least,SMART
less,SMART
lest,SMART
let,SMART
let's,SMART
like,SMART
liked,SMART
likely,SMART
little,SMART
look,SMART
looking,SMART
looks,SMART
ltd,SMART
m,SMART
mainly,SMART
many,SMART
may,SMART
maybe,SMART
me,SMART
mean,SMART
meanwhile,SMART
merely,SMART
might,SMART
more,SMART
moreover,SMART
most,SMART
mostly,SMART
much,SMART
must,SMART
my,SMART
myself,SMART
n,SMART
name,SMART
namely,SMART
nd,SMART
near,SMART
nearly,SMART
necessary,SMART
need,SMART
needs,SMART
neither,SMART
never,SMART
nevertheless,SMART
new,SMART
next,SMART
nine,SMART
no,SMART
nobody,SMART
non,SMART
none,SMART
noone,SMART
nor,SMART
normally,SMART
not,SMART
nothing,SMART
novel,SMART
now,SMART
nowhere,SMART
o,SMART
obviously,SMART
of,SMART
off,SMART
often,SMART
oh,SMART
ok,SMART
okay,SMART
old,SMART
on,SMART
once,SMART
one,SMART
ones,SMART
only,SMART
onto,SMART
or,SMART
other,SMART
others,SMART
otherwise,SMART
ought,SMART
our,SMART
ours,SMART
ourselves,SMART
out,SMART
outside,SMART
over,SMART
overall,SMART
own,SMART
p,SMART
particular,SMART
particularly,SMART
per,SMART
perhaps,SMART
placed,SMART
please,SMART
plus,SMART
possible,SMART
presumably,SMART
probably,SMART
provides,SMART
q,SMART
que,SMART
quite,SMART
qv,SMART
r,SMART
rather,SMART
rd,SMART
re,SMART
really,SMART
reasonably,SMART
regarding,SMART
regardless,SMART
regards,SMART
relatively,SMART
respectively,SMART
right,SMART
s,SMART
said,SMART
same,SMART
saw,SMART
say,SMART
saying,SMART
says,SMART
second,SMART
secondly,SMART
see,SMART
seeing,SMART
seem,SMART
seemed,SMART
seeming,SMART
seems,SMART
seen,SMART
self,SMART
selves,SMART
sensible,SMART
sent,SMART
serious,SMART
seriously,SMART
seven,SMART
several,SMART
shall,SMART
she,SMART
should,SMART
shouldn't,SMART
since,SMART
six,SMART
so,SMART
some,SMART
somebody,SMART
somehow,SMART
someone,SMART
something,SMART
sometime,SMART
sometimes,SMART
somewhat,SMART
somewhere,SMART
soon,SMART
sorry,SMART
specified,SMART
specify,SMART
specifying,SMART
still,SMART
sub,SMART
such,SMART
sup,SMART
sure,SMART
t,SMART
t's,SMART
take,SMART
taken,SMART
tell,SMART
tends,SMART
th,SMART
than,SMART
thank,SMART
thanks,SMART
thanx,SMART
that,SMART
that's,SMART
thats,SMART
the,SMART
their,SMART
theirs,SMART
them,SMART
themselves,SMART
then,SMART
thence,SMART
there,SMART
there's,SMART
thereafter,SMART
thereby,SMART
therefore,SMART
therein,SMART
theres,SMART
thereupon,SMART
these,SMART
they,SMART
they'd,SMART
they'll,SMART
they're,SMART
they've,SMART
think,SMART
third,SMART
this,SMART
thorough,SMART
thoroughly,SMART
those,SMART
though,SMART
three,SMART
through,SMART
throughout,SMART
thru,SMART
thus,SMART
to,SMART
together,SMART
too,SMART
took,SMART
toward,SMART
towards,SMART
tried,SMART
tries,SMART
truly,SMART
try,SMART
trying,SMART
twice,SMART
two,SMART
u,SMART
un,SMART
under,SMART
unfortunately,SMART
unless,SMART
unlikely,SMART
until,SMART
unto,SMART
up,SMART
upon,SMART
us,SMART
use,SMART
used,SMART
useful,SMART
uses,SMART
using,SMART
usually,SMART
uucp,SMART
v,SMART
value,SMART
various,SMART
very,SMART
via,SMART
viz,SMART
vs,SMART
w,SMART
want,SMART
wants,SMART
was,SMART
wasn't,SMART
way,SMART
we,SMART
we'd,SMART
we'll,SMART
we're,SMART
we've,SMART
welcome,SMART
well,SMART
went,SMART
were,SMART
weren't,SMART
what,SMART
what's,SMART
whatever,SMART
when,SMART
whence,SMART
whenever,SMART
where,SMART
where's,SMART
whereafter,SMART
whereas,SMART
whereby,SMART
wherein,SMART
whereupon,SMART
wherever,SMART
whether,SMART
which,SMART
while,SMART
whither,SMART
who,SMART
who's,SMART
whoever,SMART
whole,SMART
whom,SMART
whose,SMART
why,SMART
will,SMART
willing,SMART
wish,SMART
with,SMART
within,SMART
without,SMART
won't,SMART
wonder,SMART
would,SMART
would,SMART
wouldn't,SMART
x,SMART
y,SMART
yes,SMART
yet,SMART
you,SMART
you'd,SMART
you'll,SMART
you're,SMART
you've,SMART
your,SMART
yours,SMART
yourself,SMART
yourselves,SMART
z,SMART
zero,SMART
i,snowball
me,snowball
my,snowball
myself,snowball
we,snowball
our,snowball
ours,snowball
ourselves,snowball
you,snowball
your,snowball
yours,snowball
yourself,snowball
yourselves,snowball
he,snowball
him,snowball
his,snowball
himself,snowball
she,snowball
her,snowball
hers,snowball
herself,snowball
it,snowball
its,snowball
itself,snowball
they,snowball
them,snowball
their,snowball
theirs,snowball
themselves,snowball
what,snowball
which,snowball
who,snowball
whom,snowball
this,snowball
that,snowball
these,snowball
those,snowball
am,snowball
is,snowball
are,snowball
was,snowball
were,snowball
be,snowball
been,snowball
being,snowball
have,snowball
has,snowball
had,snowball
having,snowball
do,snowball
does,snowball
did,snowball
doing,snowball
would,snowball
should,snowball
could,snowball
ought,snowball
i'm,snowball
you're,snowball
he's,snowball
she's,snowball
it's,snowball
we're,snowball
they're,snowball
i've,snowball
you've,snowball
we've,snowball
they've,snowball
i'd,snowball
you'd,snowball
he'd,snowball
she'd,snowball
we'd,snowball
they'd,snowball
i'll,snowball
you'll,snowball
he'll,snowball
she'll,snowball
we'll,snowball
they'll,snowball
isn't,snowball
aren't,snowball
wasn't,snowball
weren't,snowball
hasn't,snowball
haven't,snowball
hadn't,snowball
doesn't,snowball
don't,snowball
didn't,snowball
won't,snowball
wouldn't,snowball
shan't,snowball
shouldn't,snowball
can't,snowball
cannot,snowball
couldn't,snowball
mustn't,snowball
let's,snowball
that's,snowball
who's,snowball
what's,snowball
here's,snowball
there's,snowball
when's,snowball
where's,snowball
why's,snowball
how's,snowball
a,snowball
an,snowball
the,snowball
and,snowball
but,snowball
if,snowball
or,snowball
because,snowball
as,snowball
until,snowball
while,snowball
of,snowball
at,snowball
by,snowball
for,snowball
with,snowball
about,snowball
against,snowball
between,snowball
into,snowball
through,snowball
during,snowball
before,snowball
after,snowball
above,snowball
below,snowball
to,snowball
from,snowball
up,snowball
down,snowball
in,snowball
out,snowball
on,snowball
off,snowball
over,snowball
under,snowball
again,snowball
further,snowball
then,snowball
once,snowball
here,snowball
there,snowball
when,snowball
where,snowball
why,snowball
how,snowball
all,snowball
any,snowball
both,snowball
each,snowball
few,snowball
more,snowball
most,snowball
other,snowball
some,snowball
such,snowball
no,snowball
nor,snowball
not,snowball
only,snowball
own,snowball
same,snowball
so,snowball
than,snowball
too,snowball
very,snowball
a,onix
about,onix
above,onix
across,onix
after,onix
again,onix
against,onix
all,onix
almost,onix
alone,onix
along,onix
already,onix
also,onix
although,onix
always,onix
among,onix
an,onix
and,onix
another,onix
any,onix
anybody,onix
anyone,onix
anything,onix
anywhere,onix
are,onix
area,onix
areas,onix
around,onix
as,onix
ask,onix
asked,onix
asking,onix
asks,onix
at,onix
away,onix
back,onix
backed,onix
backing,onix
backs,onix
be,onix
became,onix
because,onix
become,onix
becomes,onix
been,onix
before,onix
began,onix
behind,onix
being,onix
beings,onix
best,onix
better,onix
between,onix
big,onix
both,onix
but,onix
by,onix
came,onix
can,onix
cannot,onix
case,onix
cases,onix
certain,onix
certainly,onix
clear,onix
clearly,onix
come,onix
could,onix
did,onix
differ,onix
different,onix
differently,onix
do,onix
does,onix
done,onix
down,onix
down,onix
downed,onix
downing,onix
downs,onix
during,onix
each,onix
early,onix
either,onix
end,onix
ended,onix
ending,onix
ends,onix
enough,onix
even,onix
evenly,onix
ever,onix
every,onix
everybody,onix
everyone,onix
everything,onix
everywhere,onix
face,onix
faces,onix
fact,onix
facts,onix
far,onix
felt,onix
few,onix
find,onix
finds,onix
first,onix
for,onix
four,onix
from,onix
full,onix
fully,onix
further,onix
furthered,onix
furthering,onix
furthers,onix
gave,onix
general,onix
generally,onix
get,onix
gets,onix
give,onix
given,onix
gives,onix
go,onix
going,onix
good,onix
goods,onix
got,onix
great,onix
greater,onix
greatest,onix
group,onix
grouped,onix
grouping,onix
groups,onix
had,onix
has,onix
have,onix
having,onix
he,onix
her,onix
here,onix
herself,onix
high,onix
high,onix
high,onix
higher,onix
highest,onix
him,onix
himself,onix
his,onix
how,onix
however,onix
i,onix
if,onix
important,onix
in,onix
interest,onix
interested,onix
interesting,onix
interests,onix
into,onix
is,onix
it,onix
its,onix
itself,onix
just,onix
keep,onix
keeps,onix
kind,onix
knew,onix
know,onix
known,onix
knows,onix
large,onix
largely,onix
last,onix
later,onix
latest,onix
least,onix
less,onix
let,onix
lets,onix
like,onix
likely,onix
long,onix
longer,onix
longest,onix
made,onix
make,onix
making,onix
man,onix
many,onix
may,onix
me,onix
member,onix
members,onix
men,onix
might,onix
more,onix
most,onix
mostly,onix
mr,onix
mrs,onix
much,onix
must,onix
my,onix
myself,onix
necessary,onix
need,onix
needed,onix
needing,onix
needs,onix
never,onix
new,onix
new,onix
newer,onix
newest,onix
next,onix
no,onix
nobody,onix
non,onix
noone,onix
not,onix
nothing,onix
now,onix
nowhere,onix
number,onix
numbers,onix
of,onix
off,onix
often,onix
old,onix
older,onix
oldest,onix
on,onix
once,onix
one,onix
only,onix
open,onix
opened,onix
opening,onix
opens,onix
or,onix
order,onix
ordered,onix
ordering,onix
orders,onix
other,onix
others,onix
our,onix
out,onix
over,onix
part,onix
parted,onix
parting,onix
parts,onix
per,onix
perhaps,onix
place,onix
places,onix
point,onix
pointed,onix
pointing,onix
points,onix
possible,onix
present,onix
presented,onix
presenting,onix
presents,onix
problem,onix
problems,onix
put,onix
puts,onix
quite,onix
rather,onix
really,onix
right,onix
right,onix
room,onix
rooms,onix
said,onix
same,onix
saw,onix
say,onix
says,onix
second,onix
seconds,onix
see,onix
seem,onix
seemed,onix
seeming,onix
seems,onix
sees,onix
several,onix
shall,onix
she,onix
should,onix
show,onix
showed,onix
showing,onix
shows,onix
side,onix
sides,onix
since,onix
small,onix
smaller,onix
smallest,onix
some,onix
somebody,onix
someone,onix
something,onix
somewhere,onix
state,onix
states,onix
still,onix
still,onix
such,onix
sure,onix
take,onix
taken,onix
than,onix
that,onix
the,onix
their,onix
them,onix
then,onix
there,onix
therefore,onix
these,onix
they,onix
thing,onix
things,onix
think,onix
thinks,onix
this,onix
those,onix
though,onix
thought,onix
thoughts,onix
three,onix
through,onix
thus,onix
to,onix
today,onix
together,onix
too,onix
took,onix
toward,onix
turn,onix
turned,onix
turning,onix
turns,onix
two,onix
under,onix
until,onix
up,onix
upon,onix
us,onix
use,onix
used,onix
uses,onix
very,onix
want,onix
wanted,onix
wanting,onix
wants,onix
was,onix
way,onix
ways,onix
we,onix
well,onix
wells,onix
went,onix
were,onix
what,onix
when,onix
where,onix
whether,onix
which,onix
while,onix
who,onix
whole,onix
whose,onix
why,onix
will,onix
with,onix
within,onix
without,onix
work,onix
worked,onix
working,onix
works,onix
would,onix
year,onix
years,onix
yet,onix
you,onix
young,onix
younger,onix
youngest,onix
your,onix
yours,onix
